customer_id,touchpoint_id,platform,touchpoint_type,timestamp,campaign_id,keyword_id,conversion_timestamp,conversion_value,attribution_weight
CUST-000001,TP-1-1,amazon,impression,2025-06-30 13:02:27.967686,CAMP-000024,KW-CAMP-000024-1,2025-07-13 13:02:27.967686,72.00487026225063,0.435
CUST-000002,TP-2-1,amazon,view,2025-07-28 13:02:27.967686,CAMP-000005,KW-CAMP-000005-7,,0.0,0.417
CUST-000002,TP-2-2,walmart,impression,2025-08-11 13:02:27.967686,CAMP-000015,KW-CAMP-000015-1,,0.0,1.0
CUST-000002,TP-2-3,amazon,view,2025-08-09 13:02:27.967686,CAMP-000024,KW-CAMP-000024-2,,0.0,0.833
CUST-000002,TP-2-4,walmart,view,2025-08-02 13:02:27.967686,CAMP-000001,KW-CAMP-000001-5,,0.0,0.526
CUST-000002,TP-2-5,walmart,click,2025-08-10 13:02:27.967686,CAMP-000020,KW-CAMP-000020-1,2025-08-11 13:02:27.967686,74.47111536822449,0.909
CUST-000003,TP-3-1,walmart,impression,2025-07-29 13:02:27.967686,CAMP-000005,KW-CAMP-000005-3,,0.0,0.5
CUST-000003,TP-3-2,walmart,impression,2025-08-06 13:02:27.967686,CAMP-000004,KW-CAMP-000004-5,,0.0,0.833
CUST-000003,TP-3-3,amazon,impression,2025-07-31 13:02:27.967686,CAMP-000007,KW-CAMP-000007-8,,0.0,0.556
CUST-000003,TP-3-4,amazon,impression,2025-08-02 13:02:27.967686,CAMP-000006,KW-CAMP-000006-7,,0.0,0.625
CUST-000003,TP-3-5,walmart,view,2025-08-08 13:02:27.967686,CAMP-000024,KW-CAMP-000024-5,2025-08-08 13:02:27.967686,71.78633968164644,1.0
CUST-000004,TP-4-1,amazon,click,2025-07-21 13:02:27.967686,CAMP-000005,KW-CAMP-000005-3,,0.0,0.556
CUST-000004,TP-4-2,walmart,impression,2025-07-17 13:02:27.967686,CAMP-000021,KW-CAMP-000021-3,2025-07-29 13:02:27.967686,33.13087108919952,0.455
CUST-000005,TP-5-1,walmart,impression,2025-06-16 13:02:27.967686,CAMP-000023,KW-CAMP-000023-1,,0.0,0.909
CUST-000005,TP-5-2,amazon,impression,2025-06-17 13:02:27.967686,CAMP-000011,KW-CAMP-000011-3,,0.0,1.0
CUST-000005,TP-5-3,walmart,impression,2025-06-14 13:02:27.967686,CAMP-000016,KW-CAMP-000016-5,,0.0,0.769
CUST-000005,TP-5-4,amazon,click,2025-06-14 13:02:27.967686,CAMP-000005,KW-CAMP-000005-6,,0.0,0.769
