campaign_id,platform,campaign_type,date,impressions,clicks,spend,sales,orders,acos,roas,cpc,ctr,conversion_rate
CAMP-000001,walmart,sponsored_display,2025-05-22 13:02:27.967686,4898,167,209.85,448.7,12,0.468,2.14,1.26,3.417,7.734
CAMP-000002,amazon,sponsored_display,2025-05-22 13:02:27.967686,1763,89,47.67,268.32,6,0.178,5.63,0.54,5.078,7.259
CAMP-000003,walmart,sponsored_display,2025-05-22 13:02:27.967686,1729,66,119.24,89.28,2,1.336,0.75,1.81,3.829,3.389
CAMP-000004,amazon,sponsored_display,2025-05-22 13:02:27.967686,4399,219,351.86,818.3,19,0.43,2.33,1.61,4.997,9.013
CAMP-000005,amazon,sponsored_brands,2025-05-22 13:02:27.967686,1880,141,158.36,586.78,13,0.27,3.71,1.12,7.546,9.606
CAMP-000006,walmart,sponsored_products,2025-05-22 13:02:27.967686,1598,57,28.71,79.96,1,0.359,2.78,0.5,3.614,2.765
CAMP-000007,amazon,sponsored_display,2025-05-22 13:02:27.967686,4278,237,134.91,153.14,4,0.881,1.14,0.57,5.545,1.691
CAMP-000008,walmart,sponsored_products,2025-05-22 13:02:27.967686,668,11,19.52,78.73,1,0.248,4.03,1.77,1.755,9.574
CAMP-000009,amazon,sponsored_products,2025-05-22 13:02:27.967686,1477,31,26.62,0.0,0,1.0,0.0,0.86,2.114,0.243
CAMP-000010,amazon,sponsored_products,2025-05-22 13:02:27.967686,2524,245,75.23,2623.67,18,0.029,34.88,0.31,9.719,7.57
CAMP-000011,amazon,sponsored_brands,2025-05-22 13:02:27.967686,2459,94,96.69,285.71,3,0.338,2.96,1.03,3.852,3.531
CAMP-000012,amazon,sponsored_brands,2025-05-22 13:02:27.967686,11995,177,67.2,1721.14,17,0.039,25.61,0.38,1.479,9.969
CAMP-000013,walmart,sponsored_display,2025-05-22 13:02:27.967686,1362,36,52.07,72.24,3,0.721,1.39,1.45,2.65,11.037
CAMP-000014,amazon,sponsored_display,2025-05-22 13:02:27.967686,9805,440,293.45,1327.32,38,0.221,4.52,0.67,4.491,8.637
CAMP-000015,walmart,sponsored_brands,2025-05-22 13:02:27.967686,19259,790,439.7,2518.54,78,0.175,5.73,0.56,4.106,9.999
CAMP-000016,walmart,sponsored_products,2025-05-22 13:02:27.967686,3449,58,71.05,1283.79,8,0.055,18.07,1.22,1.697,13.858
CAMP-000017,amazon,sponsored_display,2025-05-22 13:02:27.967686,1021,47,75.59,62.67,2,1.206,0.83,1.61,4.633,4.693
CAMP-000018,amazon,sponsored_products,2025-05-22 13:02:27.967686,1784,62,66.43,81.76,1,0.812,1.23,1.07,3.498,2.293
CAMP-000019,walmart,sponsored_products,2025-05-22 13:02:27.967686,4989,231,400.18,892.45,32,0.448,2.23,1.73,4.634,14.223
CAMP-000020,amazon,sponsored_display,2025-05-22 13:02:27.967686,664,14,21.83,0.0,0,1.0,0.0,1.56,2.172,1.843
CAMP-000021,walmart,sponsored_products,2025-05-22 13:02:27.967686,1457,55,158.37,120.21,3,1.317,0.76,2.88,3.803,7.213
CAMP-000022,amazon,sponsored_products,2025-05-22 13:02:27.967686,561,23,17.54,76.96,1,0.228,4.39,0.76,4.12,6.159
CAMP-000023,walmart,sponsored_products,2025-05-22 13:02:27.967686,24888,1753,789.03,2048.17,79,0.385,2.6,0.45,7.044,4.51
CAMP-000024,walmart,sponsored_display,2025-05-22 13:02:27.967686,2683,285,670.56,436.94,7,1.535,0.65,2.35,10.628,2.589
CAMP-000025,walmart,sponsored_brands,2025-05-22 13:02:27.967686,3196,100,216.33,431.52,11,0.501,1.99,2.16,3.147,11.98
CAMP-000001,walmart,sponsored_display,2025-05-23 13:02:27.967686,3687,65,114.36,264.51,7,0.432,2.31,1.76,1.785,11.445
CAMP-000002,walmart,sponsored_products,2025-05-23 13:02:27.967686,2934,113,229.49,1156.86,23,0.198,5.04,2.03,3.885,20.491
CAMP-000003,walmart,sponsored_brands,2025-05-23 13:02:27.967686,7601,410,516.84,4292.83,34,0.12,8.31,1.26,5.398,8.469
CAMP-000004,walmart,sponsored_products,2025-05-23 13:02:27.967686,9540,581,597.07,2009.96,30,0.297,3.37,1.03,6.09,5.247
