asin,date,cost_of_goods_sold,platform_fees,fulfillment_fees,storage_fees,payment_terms_days,currency_rate,carrying_cost_rate
BXAJI0Y6D,2025-05-22 17:06:27.324910,22.92,8.61,4.05,1.83,14,0.9747,0.1595
BPBHSAHXT,2025-05-22 17:06:27.324910,0.0,4.3,0.0,2.03,30,0.9822,0.1663
BHV3A3ZMF,2025-05-22 17:06:27.324910,0.0,3.59,0.0,1.73,14,1.0018,0.1418
B8MDD4V30,2025-05-22 17:06:27.324910,56.44,9.22,7.41,1.06,30,0.9618,0.1673
BT9NT3W5U,2025-05-22 17:06:27.324910,47.27,14.72,3.2,1.94,14,1.0199,0.1699
BZBIKCIDK,2025-05-22 17:06:27.324910,45.0,11.28,13.06,0.71,30,1.0291,0.1565
BWNNHJ7XV,2025-05-22 17:06:27.324910,24.99,9.97,6.79,2.89,30,0.9811,0.1742
BG0FN9XUY,2025-05-22 17:06:27.324910,17.69,7.02,6.18,1.24,30,0.9722,0.1712
B41IBLJH7,2025-05-22 17:06:27.324910,69.16,12.44,24.8,1.86,45,0.9938,0.1465
B5LXO6QJI,2025-05-22 17:06:27.324910,24.2,9.3,2.16,2.88,14,1.0009,0.1344
BUJV6OH9S,2025-05-22 17:06:27.324910,0.0,2.38,0.0,2.08,30,1.0054,0.1739
BDBDW2PCN,2025-05-22 17:06:27.324910,0.0,0.55,0.0,1.21,45,1.0117,0.1786
B9T84AZYT,2025-05-22 17:06:27.324910,0.0,5.57,0.0,2.41,14,1.0303,0.1406
BJXEPQ85J,2025-05-22 17:06:27.324910,73.74,17.89,5.99,2.86,45,1.0111,0.1604
BSG65KXVF,2025-05-22 17:06:27.324910,0.0,5.89,0.0,2.14,30,0.9897,0.1494
B1T2TALA7,2025-05-22 17:06:27.324910,44.74,9.92,10.51,2.94,30,0.9719,0.136
B53LC58DR,2025-05-22 17:06:27.324910,0.0,5.21,0.0,0.69,45,0.9886,0.1511
BC11ERTJ5,2025-05-22 17:06:27.324910,32.57,9.28,5.85,2.83,30,0.9999,0.141
BPHT0HL9X,2025-05-22 17:06:27.324910,27.62,6.52,6.76,1.15,30,0.9992,0.1587
BPSEIMVIH,2025-05-22 17:06:27.324910,72.6,18.63,7.73,1.54,14,0.9991,0.1369
BCWI64CIY,2025-05-22 17:06:27.324910,120.16,24.8,23.9,1.64,14,1.0127,0.1795
BHE7UR23G,2025-05-22 17:06:27.324910,37.07,12.36,5.21,0.72,30,1.0129,0.1297
BDPPQ0Y9D,2025-05-22 17:06:27.324910,0.0,0.47,0.0,2.49,30,1.0312,0.1762
BOM5IGQPK,2025-05-22 17:06:27.324910,51.35,11.99,4.25,1.22,45,1.0181,0.1676
BI7P5TB94,2025-05-22 17:06:27.324910,38.49,10.7,23.21,2.96,14,1.0145,0.1324
B874FRHOC,2025-05-22 17:06:27.324910,74.99,16.07,4.76,2.52,45,0.9957,0.1772
BN9J2QP89,2025-05-22 17:06:27.324910,105.84,20.36,31.0,0.7,30,0.9764,0.1611
BUZFK8UT0,2025-05-22 17:06:27.324910,42.15,7.31,6.5,2.6,45,1.0193,0.1353
BCVS4F8CG,2025-05-22 17:06:27.324910,50.51,16.65,4.7,0.76,14,1.0171,0.136
BVYIE6IVW,2025-05-22 17:06:27.324910,99.15,16.64,7.61,0.86,30,1.0057,0.1628
BPVS7HZIO,2025-05-22 17:06:27.324910,72.32,18.13,31.47,1.91,45,1.0069,0.1395
BYKL1CQ99,2025-05-22 17:06:27.324910,27.54,10.21,12.21,2.67,45,0.9695,0.1285
BCHJ755NF,2025-05-22 17:06:27.324910,101.64,18.88,12.14,0.69,30,1.0008,0.1357
B4ZW9XA3K,2025-05-22 17:06:27.324910,46.26,7.7,7.19,1.83,14,1.0161,0.151
BX7EEDTJV,2025-05-22 17:06:27.324910,0.0,2.89,0.0,2.04,14,0.967,0.1379
BZHWJR64D,2025-05-22 17:06:27.324910,37.28,13.0,3.01,2.48,14,1.0164,0.1484
BPJA1WJ0T,2025-05-22 17:06:27.324910,62.56,12.56,6.99,2.92,45,0.983,0.1664
BPAC56T4U,2025-05-22 17:06:27.324910,60.54,12.96,2.72,1.43,30,1.0018,0.1653
BFEL6246H,2025-05-22 17:06:27.324910,46.32,14.17,47.06,2.09,14,0.9942,0.1557
BID25OWF7,2025-05-22 17:06:27.324910,0.0,0.86,0.0,1.42,30,1.0166,0.1588
B5935A0L7,2025-05-22 17:06:27.324910,0.0,5.87,0.0,1.68,45,0.9888,0.127
B253J2D54,2025-05-22 17:06:27.324910,0.0,6.41,0.0,2.98,30,1.0019,0.1221
BI3QK2IAG,2025-05-22 17:06:27.324910,0.0,2.92,0.0,2.31,30,0.999,0.1582
BL58KXO9T,2025-05-22 17:06:27.324910,0.0,2.85,0.0,1.04,14,0.9803,0.1404
B7E8G8JDP,2025-05-22 17:06:27.324910,44.28,6.24,2.4,0.52,30,1.003,0.1422
B0LVSNUJZ,2025-05-22 17:06:27.324910,54.0,8.94,25.4,1.9,14,0.9868,0.1491
BA7TZ0YNC,2025-05-22 17:06:27.324910,94.47,14.96,22.04,1.21,45,1.0116,0.1471
BXLL4ZKLO,2025-05-22 17:06:27.324910,95.9,24.49,29.54,2.83,14,1.0211,0.1686
BOKEP7Y6W,2025-05-22 17:06:27.324910,41.02,9.53,3.66,2.31,14,1.01,0.1677
BKTAKPUXQ,2025-05-22 17:06:27.324910,54.21,16.38,18.24,1.68,14,1.0534,0.1764
BXAJI0Y6D,2025-05-23 17:06:27.324910,0.0,0.59,0.0,2.65,45,0.993,0.1218
BPBHSAHXT,2025-05-23 17:06:27.324910,174.92,32.6,26.68,2.88,30,0.9823,0.145
BHV3A3ZMF,2025-05-23 17:06:27.324910,91.92,19.85,28.8,1.88,45,0.9916,0.1621
B8MDD4V30,2025-05-23 17:06:27.324910,21.48,7.18,16.74,2.85,45,1.0036,0.1312
BT9NT3W5U,2025-05-23 17:06:27.324910,0.0,2.13,0.0,2.33,14,0.9845,0.1639
BZBIKCIDK,2025-05-23 17:06:27.324910,142.62,24.59,8.65,2.83,30,0.9902,0.1564
BWNNHJ7XV,2025-05-23 17:06:27.324910,66.27,17.17,22.87,1.51,30,1.0053,0.1542
BG0FN9XUY,2025-05-23 17:06:27.324910,32.14,12.23,5.91,0.71,14,1.0107,0.1355
B41IBLJH7,2025-05-23 17:06:27.324910,0.0,3.77,0.0,2.04,14,1.0201,0.1736
