keyword_id,campaign_id,keyword,match_type,impressions,clicks,spend,sales,orders,date,bid,avg_position
KW-CAMP-000001-1,CAMP-000001,usb cable,broad,637,21,27.32,58.42,1,2025-05-22 17:06:27.128080,0.71,7.3
KW-CAMP-000001-2,CAMP-000001,wireless headphones,broad,37,1,1.59,3.39,0,2025-05-22 17:06:27.128080,1.52,9.5
KW-CAMP-000001-3,CAMP-000001,bluetooth speaker,phrase,2272,77,97.38,208.21,5,2025-05-22 17:06:27.128080,1.47,17.2
KW-CAMP-000001-4,CAMP-000001,external drive,broad,768,26,32.94,70.44,1,2025-05-22 17:06:27.128080,0.8,8.3
KW-CAMP-000001-5,CAMP-000001,laptop bag,phrase,98,3,4.23,9.04,0,2025-05-22 17:06:27.128080,0.68,12.8
KW-CAMP-000001-6,CAMP-000001,gaming mouse,phrase,461,15,19.78,42.29,1,2025-05-22 17:06:27.128080,0.39,1.9
KW-CAMP-000001-7,CAMP-000001,screen protector,broad,1431,48,61.35,131.18,3,2025-05-22 17:06:27.128080,0.45,14.0
KW-CAMP-000001-8,CAMP-000001,gaming mouse,phrase,1273,43,54.58,116.69,3,2025-05-22 17:06:27.128080,0.32,15.7
KW-CAMP-000002-1,CAMP-000002,tablet stand,exact,518,26,14.02,78.89,1,2025-05-22 17:06:27.128080,3.39,16.5
KW-CAMP-000002-2,CAMP-000002,fitness tracker,phrase,716,36,19.38,109.08,2,2025-05-22 17:06:27.128080,3.07,4.5
KW-CAMP-000002-3,CAMP-000002,bluetooth speaker,broad,1247,62,33.74,189.89,4,2025-05-22 17:06:27.128080,0.95,17.0
KW-CAMP-000002-4,CAMP-000002,external drive,phrase,61,3,1.65,9.29,0,2025-05-22 17:06:27.128080,2.09,5.6
KW-CAMP-000003-1,CAMP-000003,screen protector,phrase,300,11,20.73,15.52,0,2025-05-22 17:06:27.128080,0.51,11.8
KW-CAMP-000003-2,CAMP-000003,charging cable,broad,7,0,0.5,0.37,0,2025-05-22 17:06:27.128080,0.3,9.5
KW-CAMP-000003-3,CAMP-000003,phone mount,phrase,91,3,6.33,4.74,0,2025-05-22 17:06:27.128080,0.48,15.9
KW-CAMP-000003-4,CAMP-000003,wireless headphones,exact,24,0,1.67,1.25,0,2025-05-22 17:06:27.128080,0.68,14.8
KW-CAMP-000003-5,CAMP-000003,car charger,phrase,508,19,35.04,26.23,0,2025-05-22 17:06:27.128080,0.78,11.8
KW-CAMP-000003-6,CAMP-000003,charging cable,phrase,45,1,3.14,2.35,0,2025-05-22 17:06:27.128080,1.93,18.8
KW-CAMP-000003-7,CAMP-000003,external drive,broad,370,14,25.55,19.13,0,2025-05-22 17:06:27.128080,0.94,18.8
KW-CAMP-000003-8,CAMP-000003,gaming mouse,exact,201,7,13.89,10.4,0,2025-05-22 17:06:27.128080,1.45,4.9
KW-CAMP-000004-1,CAMP-000004,gaming mouse,exact,1590,79,127.23,295.89,6,2025-05-22 17:06:27.128080,0.92,3.5
KW-CAMP-000004-2,CAMP-000004,gaming mouse,phrase,401,19,32.12,74.7,1,2025-05-22 17:06:27.128080,0.57,2.9
KW-CAMP-000004-3,CAMP-000004,laptop bag,phrase,314,15,25.18,58.56,1,2025-05-22 17:06:27.128080,2.2,16.5
KW-CAMP-000004-4,CAMP-000004,screen protector,phrase,1095,54,87.65,203.85,4,2025-05-22 17:06:27.128080,0.38,17.6
KW-CAMP-000004-5,CAMP-000004,fitness tracker,exact,293,14,23.5,54.65,1,2025-05-22 17:06:27.128080,0.42,4.1
KW-CAMP-000004-6,CAMP-000004,fitness tracker,broad,75,3,6.07,14.13,0,2025-05-22 17:06:27.128080,0.86,12.2
KW-CAMP-000004-7,CAMP-000004,external drive,phrase,64,3,5.19,12.06,0,2025-05-22 17:06:27.128080,1.72,2.8
KW-CAMP-000005-1,CAMP-000005,gaming mouse,phrase,95,7,8.02,29.73,0,2025-05-22 17:06:27.128080,2.1,6.6
KW-CAMP-000005-2,CAMP-000005,screen protector,broad,488,36,41.11,152.33,3,2025-05-22 17:06:27.128080,0.48,7.9
KW-CAMP-000005-3,CAMP-000005,tablet stand,broad,692,51,58.36,216.24,4,2025-05-22 17:06:27.128080,1.7,16.2
KW-CAMP-000005-4,CAMP-000005,power bank,exact,172,12,14.52,53.8,1,2025-05-22 17:06:27.128080,2.06,5.1
KW-CAMP-000005-5,CAMP-000005,gaming mouse,exact,289,21,24.39,90.37,2,2025-05-22 17:06:27.128080,0.82,8.2
KW-CAMP-000005-6,CAMP-000005,fitness tracker,phrase,337,25,28.46,105.46,2,2025-05-22 17:06:27.128080,1.07,17.0
KW-CAMP-000006-1,CAMP-000006,tablet stand,broad,786,28,14.13,39.34,0,2025-05-22 17:06:27.128080,0.59,7.0
KW-CAMP-000006-2,CAMP-000006,tablet stand,phrase,421,15,7.57,21.08,0,2025-05-22 17:06:27.128080,0.44,10.3
