asin,sku,platform,date,organic_sales,paid_sales,total_sales,units_sold,cost_per_unit,selling_price,margin_per_unit,inventory_value,days_of_supply
BXAJI0Y6D,SKU-00001,walmart,2025-05-22 13:02:28.163485,28.87,43.78,72.65,1,22.92,72.65,49.72,1677.66,89
BPBHSAHXT,SKU-00002,walmart,2025-05-22 13:02:28.163485,15.03,15.22,30.24,0,13.79,30.24,16.45,1401.68,76
BHV3A3ZMF,SKU-00003,walmart,2025-05-22 13:02:28.163485,29.53,7.85,37.38,0,17.03,37.38,20.35,2161.56,30
B8MDD4V30,SKU-00004,amazon,2025-05-22 13:02:28.163485,77.12,29.68,106.8,2,28.22,53.4,25.18,3598.22,28
BT9NT3W5U,SKU-00005,amazon,2025-05-22 13:02:28.163485,70.56,52.67,123.23,1,47.27,123.23,75.96,7886.39,76
BZBIKCIDK,SKU-00006,walmart,2025-05-22 13:02:28.163485,69.57,15.15,84.73,2,22.5,42.36,19.86,1921.1,65
BWNNHJ7XV,SKU-00007,walmart,2025-05-22 13:02:28.163485,56.48,23.25,79.73,1,24.99,79.73,54.74,3426.59,72
BG0FN9XUY,SKU-00008,walmart,2025-05-22 13:02:28.163485,44.1,13.52,57.61,1,17.69,57.61,39.92,1760.27,52
B41IBLJH7,SKU-00009,walmart,2025-05-22 13:02:28.163485,118.7,20.32,139.02,4,17.29,34.76,17.47,1172.05,68
B5LXO6QJI,SKU-00010,walmart,2025-05-22 13:02:28.163485,45.16,23.17,68.33,1,24.2,68.33,44.13,1888.58,74
BUJV6OH9S,SKU-00011,amazon,2025-05-22 13:02:28.163485,15.87,3.0,18.87,0,9.04,18.87,9.83,1480.49,80
BDBDW2PCN,SKU-00012,walmart,2025-05-22 13:02:28.163485,5.31,1.08,6.39,0,3.29,6.39,3.1,472.33,34
B9T84AZYT,SKU-00013,amazon,2025-05-22 13:02:28.163485,37.29,9.53,46.82,0,26.19,46.82,20.63,4634.05,64
BJXEPQ85J,SKU-00014,amazon,2025-05-22 13:02:28.163485,123.46,12.06,135.53,1,73.74,135.53,61.79,6531.66,52
BSG65KXVF,SKU-00015,walmart,2025-05-22 13:02:28.163485,54.16,6.27,60.43,0,31.6,60.43,28.83,5643.96,49
B1T2TALA7,SKU-00016,amazon,2025-05-22 13:02:28.163485,64.5,31.37,95.87,2,22.37,47.93,25.56,1748.56,41
B53LC58DR,SKU-00017,amazon,2025-05-22 13:02:28.163485,50.08,1.88,51.97,0,33.15,51.97,18.81,3061.92,79
BC11ERTJ5,SKU-00018,walmart,2025-05-22 13:02:28.163485,56.98,20.37,77.35,1,32.57,77.35,44.78,5974.91,63
BPHT0HL9X,SKU-00019,walmart,2025-05-22 13:02:28.163485,40.25,8.11,48.36,1,27.62,48.36,20.74,5129.02,68
BPSEIMVIH,SKU-00020,amazon,2025-05-22 13:02:28.163485,106.08,45.75,151.83,2,36.3,75.91,39.61,4914.01,70
